Undo  ShowKeys
#	sorted	key	Freq
0	4740	יהוה	4740
1	3340	אשר	3340
2	2539	כי	2539
3	2070	ויאמר	2070
4	1754	לא	1754
5	1551	ישראל	1551
6	934	לאמר	934
7	931	ולא	931
8	832	איש	832
9	795	הוא	795
10	791	בני	791
11	771	המלך	771
12	741	ויהי	741
13	695	לו	695
14	688	הזה	688
15	679	את	679
16	671	לך	671
17	627	לפני	627
18	620	להם	620
19	617	אלהים	617
20	600	אמר	600
21	575	ליהוה	575
22	564	אתו	564
23	553	מלך	553
24	536	אדני	536
25	531	אתה	531
26	500	ביום	500
27	492	אתם	492
28	492	אני	492
29	473	יהודה	473
30	470	שם	470
31	469	כאשר	469
32	467	ואת	467
33	465	דוד	465
34	452	הארץ	452
35	451	אלי	451
36	448	בית	448
37	444	לכם	444
38	443	לי	443
39	441	אלהי	441
40	439	דבר	439
41	438	אחד	438
42	431	אליו	431
43	414	הנה	414
44	411	עשה	411
45	403	משה	403
46	398	והיה	398
47	395	בארץ	395
48	392	עליו	392
49	386	שנה	386
50	383	מצרים	383
51	359	על	359
52	356	ההוא	356
53	355	היום	355
54	346	עוד	346
55	343	אתכם	343
56	331	אלהיך	331
57	328	הכהן	328
58	324	כה	324
59	316	העם	316
60	314	והנה	314
61	311	ויאמרו	311
62	309	עד	309
63	299	ויבא	299
64	291	האלהים	291
65	286	האלה	286
66	283	אנכי	283
67	279	צבאות	279
68	278	אלף	278
69	275	ימים	275
70	273	שאול	273
71	272	ועתה	272
72	270	הזאת	270
73	268	אחרי	268
74	267	ירושלם	267
75	266	מאד	266
76	262	יהיה	262
77	257	שנים	257
78	257	כל	257
79	250	אליך	250
80	247	בנו	247
81	245	אלה	245
82	244	נתן	244
83	243	כן	243
84	242	היה	242
85	241	מאות	241
86	239	למען	239
87	237	וישב	237
88	237	ויעש	237
89	235	זהב	235
90	233	נאםיהוה	233
91	233	או	233
92	230	תחת	230
93	230	עשר	230
94	226	אין	226
95	224	וילך	224
96	219	עליהם	219
97	218	בו	218
98	215	ארץ	215
99	214	יעקב	214
100	214	אדם	214
101	212	וישלח	212
102	211	אתיהוה	211
103	207	שלמה	207
104	207	ואין	207
105	205	סביב	205
106	205	מי	205
107	205	ויבאו	205
108	205	די	205
109	203	אלמשה	203
110	202	ותאמר	202
111	201	עלי	201
112	201	לעשות	201
113	199	מעל	199
114	199	זה	199
115	198	ואתה	198
116	198	דויד	198
117	197	ויקרא	197
118	197	ויקח	197
119	196	עליך	196
120	196	לכן	196
121	195	עשו	195
122	195	עמו	195
123	194	וידבר	194
124	194	והוא	194
125	193	ויצא	193
126	191	ובני	191
127	185	אותם	185
128	183	בה	183
129	182	מים	182
130	182	בירושלם	182
131	181	המה	181
132	178	עשרים	178
133	178	לחם	178
134	176	עמך	176
135	174	לבני	174
136	174	כהאמר	174
137	174	דבריהוה	174
138	173	מפני	173
139	173	ואני	173
140	173	אבי	173
141	172	דברי	172
142	172	בא	172
143	170	עליה	170
144	170	ואמר	170
145	170	השמים	170
146	169	יום	169
147	169	טוב	169
148	169	העיר	169
149	169	הנני	169
